city_ibge_code,state_ibge_code,name,estimated_population_2019,estimated_populatio
1200401,12,Rio Branco,407319,413418
1200013,12,Acrelândia,15256,15490
1200807,12,Porto Acre,18504,18824
1200385,12,Plácido de Castro,19761,19955
1200138,12,Bujari,10266,10420
1200203,12,Cruzeiro do Sul,88376,89072
1200450,12,Senador Guiomard,23024,23236
1200336,12,Mâncio Lima,18977,19311
1200708,12,Xapuri,19323,19596
1200054,12,Assis Brasil,7417,7534
1200302,12,Feijó,34780,34884
1200609,12,Tarauacá,42567,43151
1200500,12,Sena Madureira,45848,46511
1200252,12,Epitaciolândia,18411,18696
1200179,12,Capixaba,11733,12008
1200435,12,Santa Rosa do Purus,6540,6717
1200104,12,Brasiléia,26278,26702
1200351,12,Marechal Thaumaturgo,18867,19299
1200427,12,Rodrigues Alves,18930,19351
1200344,12,Manoel Urbano,9459,9581
1200393,12,Porto Walter,11982,12241
1200328,12,Jordão,8317,8473
2704302,27,Maceió,1018948,1025360
2707503,27,Porto Real do Colégio,20066,20112
