id_escopo_autuacao,id_uf,id_amparo_legal,id_infracao,date,quantidade_autos
3,9,4,4,2021-02-01,400
3,10,4,3,2021-02-01,17
3,9,4,3,2021-03-01,406
3,3,4,5,2021-04-01,930
3,9,4,3,2021-04-01,353
1,5,4,6,2021-05-01,5
1,11,4,6,2021-05-01,1
3,1,4,3,2021-05-01,6
3,6,4,5,2021-05-01,91
1,3,4,6,2021-06-01,2
3,9,4,4,2021-06-01,353
1,8,4,6,2021-07-01,1
3,3,4,3,2021-01-01,69
3,11,4,4,2021-01-01,113
3,5,4,5,2021-02-01,347
3,11,4,3,2021-02-01,61
3,11,4,4,2021-02-01,154
3,3,4,3,2021-03-01,103
1,10,4,6,2021-04-01,1
3,8,4,3,2021-04-01,73
3,12,4,5,2021-04-01,535
3,6,4,4,2021-05-01,32
3,10,4,5,2021-06-01,82
3,11,4,3,2021-06-01,189
3,8,4,5,2021-07-01,670
2,3,1,1,2021-07-01,63
3,10,4,4,2021-07-01,77
3,8,4,5,2021-08-01,561
3,9,4,3,2021-08-01,350
1,5,4,7,2021-09-01,1
3,11,4,4,2021-09-01,30
3,3,4,3,2021-10-01,102
3,5,,2,2021-10-01,3
3,9,4,3,2021-10-01,461
2,3,1,1,2021-11-01,193
3,10,4,4,2021-11-01,46
3,7,4,4,2021-12-01,49
3,8,4,4,2021-12-01,72
2,3,1,1,2022-01-01,136
3,9,4,3,2022-01-01,459
1,8,4,8,2021-08-01,1
3,9,4,4,2021-08-01,260
3,11,4,4,2021-08-01,144
1,9,4,8,2021-09-01,2
3,7,4,3,2021-09-01,70
3,8,4,3,2021-09-01,162
1,12,4,6,2021-10-01,2
3,11,4,4,2021-10-01,141
3,4,4,3,2021-11-01,58
3,8,4,3,2021-11-01,124
1,3,4,6,2021-12-01,1
1,5,4,6,2021-12-01,1
3,8,4,3,2021-12-01,103
3,10,4,4,2021-12-01,23
3,11,4,5,2021-12-01,272
2,7,1,1,2022-01-01,899
3,4,4,5,2022-01-01,353
3,11,4,4,2022-01-01,353
3,11,4,5,2021-02-01,626
3,5,4,3,2021-03-01,33
3,8,4,5,2021-03-01,363
3,4,,2,2021-05-01,3
3,4,4,4,2021-05-01,99
3,4,4,5,2021-05-01,562
2,3,1,1,2021-06-01,415
1,5,4,6,2021-01-01,2
3,6,4,4,2021-01-01,41
3,10,4,3,2021-01-01,10
2,3,1,1,2021-03-01,631
3,9,4,4,2021-03-01,453
2,3,1,1,2021-04-01,385
2,9,1,1,2021-04-01,4152
